customer_name,country,city,sub_channel,product_class,sales,quantity,price,month,year,manager,name_of_sales_rep
Apollo Pharmacy,Australia,Perth,Retail,Antivirals,36010.89,103,400.31,January,2019,Linda Grey,Sophia Patel
PharmaPlus,Australia,Perth,Wholesale,Vitamins,18835.39,72,303.34,May,2020,Raj Malhotra,Amit Sharma
MedLife,Brazil,Salvador,Retail,Vaccines,16454.75,75,235.03,June,2017,Sarah Connor,David Garcia
CurePoint,India,Rendsburg,Retail,Vaccines,30004.74,104,356.96,July,2017,Linda Grey,Laura Adams
RemedyMart,Australia,Perth,Wholesale,Antibiotics,855.19,2,363.78,January,2018,Linda Grey,Amit Sharma
MediStore,Brazil,Rio de Janeiro,Retail,Antibiotics,11250.38,130,99.09,August,2023,Sarah Connor,Priya Mehta
Apollo Pharmacy,USA,Houston,Retail,Antivirals,15071.77,58,267.13,September,2019,Raj Malhotra,Priya Mehta
HealthKart,USA,San Francisco,Online,Antibiotics,12565.54,49,267.14,February,2019,James Goodwill,Robert Wilson
LifeCare,France,Lyon,Retail,Analgesics,35003.67,188,189.52,March,2017,Raj Malhotra,Emily Clark
LifeCare,Australia,Perth,Distributor,Antivirals,52201.41,175,313.01,March,2018,Linda Grey,David Garcia
RemedyMart,India,Mumbai,Retail,Antivirals,17477.03,64,238.71,March,2023,James Goodwill,John Doe
Apollo Pharmacy,India,Mumbai,Online,Antibiotics,10433.14,135,93.56,August,2020,Sarah Connor,Michael Brown
MedLife,Germany,Hamburg,Wholesale,Antibiotics,63837.93,132,471.68,September,2019,Raj Malhotra,Michael Brown
Apollo Pharmacy,Canada,Ottawa,Wholesale,Vaccines,143.12,9,17.82,December,2019,Linda Grey,Sophia Patel
PharmaPlus,UK,Leeds,Distributor,Vaccines,17622.8,92,225.67,November,2018,Sarah Connor,Sophia Patel
HealthZone,Australia,Sydney,Wholesale,Analgesics,249.97,8,26.85,December,2017,James Goodwill,Michael Brown
CurePoint,India,Mumbai,Distributor,Analgesics,17948.64,164,99.3,June,2022,Linda Grey,Michael Brown
RemedyMart,Canada,Calgary,Online,Vaccines,15399.28,134,111.89,November,2024,Peter White,David Garcia
MedLife,Brazil,Brasília,Distributor,Analgesics,79116.79,191,422.72,February,2017,Linda Grey,David Garcia
RemedyMart,Germany,Frankfurt,Retail,Antibiotics,96186.96,190,464.06,December,2018,Peter White,David Garcia
RemedyMart,France,Nice,Distributor,Analgesics,703.07,15,53.36,May,2019,Raj Malhotra,Michael Brown
MediStore,Australia,Perth,Wholesale,Vitamins,30754.6,190,169.41,January,2024,Raj Malhotra,Priya Mehta
PharmaPlus,France,Toulouse,Distributor,Analgesics,23285.83,82,274.45,August,2020,Linda Grey,William Lee
MedLife,USA,Chicago,Retail,Antivirals,44422.43,188,275.92,April,2021,James Goodwill,David Garcia
HealthKart,USA,Los Angeles,Online,Vaccines,1100.3,15,90.98,May,2024,Peter White,Michael Brown
BioHealth,Brazil,São Paulo,Distributor,Antibiotics,3074.33,9,388.4,April,2020,Linda Grey,Sophia Patel
Apollo Pharmacy,Canada,Montreal,Wholesale,Vaccines,27938.6,63,409.58,August,2018,Peter White,Robert Wilson
HealthZone,Brazil,Fortaleza,Online,Antivirals,67485.99,163,397.19,July,2024,Raj Malhotra,William Lee
BioHealth,India,Mumbai,Distributor,Analgesics,21422.63,41,458.33,October,2017,Sarah Connor,Emily Clark
LifeCare,Australia,Adelaide,Online,Analgesics,1705.06,12,172.14,August,2021,Linda Grey,Michael Brown
HealthZone,Brazil,Rio de Janeiro,Distributor,Antibiotics,54381.86,151,337.73,September,2019,James Goodwill,William Lee
BioHealth,India,Mumbai,Distributor,Antibiotics,64041.61,172,322.4,February,2017,Sarah Connor,Sophia Patel
HealthKart,Germany,Rendsburg,Distributor,Vitamins,45339.52,193,197.63,January,2024,James Goodwill,Priya Mehta
HealthZone,UK,London,Retail,Antibiotics,51373.26,131,382.78,September,2023,Sarah Connor,John Doe
BioHealth,Brazil,Fortaleza,Retail,Antibiotics,36103.66,142,251.96,July,2022,Peter White,Laura Adams
MediStore,Brazil,Brasília,Wholesale,Analgesics,941.68,15,64.34,January,2018,Linda Grey,Emily Clark
MediStore,USA,New York,Retail,Antibiotics,4794.68,179,25.4,July,2023,James Goodwill,Priya Mehta
HealthZone,Australia,Perth,Distributor,Vitamins,16035.65,52,286.01,September,2024,Raj Malhotra,Amit Sharma
BioHealth,Canada,Vancouver,Distributor,Vaccines,46966.9,151,306.16,April,2020,Raj Malhotra,Michael Brown
RemedyMart,Canada,Ottawa,Retail,Antivirals,2941.99,29,122.11,August,2023,Sarah Connor,Robert Wilson
LifeCare,India,Rendsburg,Online,Vitamins,75505.45,187,350.44,May,2017,Raj Malhotra,Robert Wilson
CurePoint,India,Delhi,Distributor,Vaccines,72699.43,170,405.98,November,2017,Raj Malhotra,William Lee
HealthZone,Australia,Melbourne,Wholesale,Antibiotics,27788.89,134,233.7,March,2022,Peter White,Robert Wilson
MediStore,UK,London,Online,Antibiotics,38168.75,84,447.35,February,2021,Linda Grey,Priya Mehta
MediStore,UK,Leeds,Wholesale,Vaccines,19745.83,92,184.59,June,2021,James Goodwill,Robert Wilson
Apollo Pharmacy,Canada,Toronto,Online,Analgesics,15240.3,129,121.69,July,2017,Raj Malhotra,William Lee
PharmaPlus,France,Toulouse,Distributor,Analgesics,19544.69,116,182.76,June,2020,Raj Malhotra,John Doe
RemedyMart,India,Bangalore,Wholesale,Antivirals,49831.02,198,260.27,November,2023,Raj Malhotra,Amit Sharma
BioHealth,UK,Leeds,Online,Analgesics,52317.08,165,349.29,August,2020,Sarah Connor,Sophia Patel
MediStore,UK,Birmingham,Retail,Analgesics,66674.59,152,472.03,March,2024,Sarah Connor,Robert Wilson
RemedyMart,UK,Leeds,Wholesale,Antivirals,26166.35,96,283.47,September,2020,Peter White,Sophia Patel
BioHealth,USA,New York,Online,Analgesics,35718.27,62,486.17,August,2023,Linda Grey,Amit Sharma
LifeCare,Canada,Vancouver,Wholesale,Antivirals,9104.44,39,253.65,July,2021,Linda Grey,David Garcia
HealthZone,India,Rendsburg,Wholesale,Analgesics,51115.52,113,498.89,December,2022,Raj Malhotra,Sophia Patel
RemedyMart,USA,Houston,Distributor,Antivirals,420.65,2,256.31,July,2018,Raj Malhotra,Sophia Patel
